 
time[0] = 365900  time[1]  2218398300  time[2] = 18231098900  time[3] = 972200  time[4] = 158734800  
time[0] = 20400  time[1] = 1549246400  time[2] = 16610691100  time[3] = 50000  time[4] = 88929000  

time[0] = 21700  time[1] = 1502625300  time[2] = 16546727200  time[3] = 152600  time[4] = 88218200  

time[0] = 20300  time[1] = 1482423400  time[2] = 16725642200  time[3] = 56400  time[4] = 89873700  
 
time[0] = 20600  time[1] = 1465403800  time[2] = 16543299900  time[3] = 133900  time[4] = 87107600  
       
time[0] = 21400  time[1] = 1542637700  time[2] = 16867821600  time[3] = 113100  time[4] = 86720900  
        
time[0] = 18400  time[1] = 1483260800  time[2] = 17151304600  time[3] = 142900  time[4] = 89752700  
      
time[0] = 27200  time[1] = 1452303000  time[2] = 16801189500  time[3] = 118600  time[4] = 87383800  
        
time[0] = 19100  time[1] = 1540845800  time[2] = 16954301100  time[3] = 117300  time[4] = 87027700  
     
time[0] = 53500  time[1] = 1532645100  time[2] = 16868303700  time[3] = 88300  time[4] = 86935200  
